villager,level,trade,base item,buy,demand,increase,price,trade_type
Armorer,Master,Enchanted Diamond Chestplate,Emerald,3,2,12,42,Player buys
Butcher,Novice,Emerald,Raw Chicken,1,0,0,14,Player sells
Butcher,Novice,Emerald,Raw Chicken,2,1,0,14,Player sells
Butcher,Novice,Emerald,Raw Chicken,3,2,1,15,Player sells
Butcher,Novice,Emerald,Raw Chicken,4,3,2,16,Player sells
Butcher,Novice,Emerald,Raw Chicken,5,4,2,16,Player sells
Butcher,Novice,Emerald,Raw Chicken,6,5,3,17,Player sells
Butcher,Novice,Emerald,Raw Chicken,7,6,4,18,Player sells
Butcher,Novice,Emerald,Raw Chicken,8,7,4,18,Player sells
Butcher,Novice,Emerald,Raw Chicken,9,8,5,19,Player sells
Butcher,Novice,Emerald,Raw Chicken,10,9,6,20,Player sells
Butcher,Novice,Emerald,Raw Chicken,11,10,7,21,Player sells
Butcher,Novice,Emerald,Raw Chicken,12,11,7,21,Player sells
Butcher,Novice,Emerald,Raw Chicken,13,12,8,22,Player sells
Butcher,Novice,Emerald,Raw Chicken,14,13,9,23,Player sells
Butcher,Novice,Emerald,Raw Chicken,15,14,9,23,Player sells
Butcher,Novice,Emerald,Raw Chicken,16,15,10,24,Player sells
Butcher,Novice,Emerald,Raw Porkchop,1,0,0,7,Player sells
Butcher,Novice,Emerald,Raw Porkchop,2,1,0,7,Player sells
Butcher,Novice,Emerald,Raw Porkchop,3,2,0,7,Player sells
Butcher,Novice,Emerald,Raw Porkchop,4,3,1,8,Player sells
Butcher,Novice,Emerald,Raw Porkchop,5,4,1,8,Player sells
Butcher,Novice,Emerald,Raw Porkchop,6,5,1,8,Player sells
Butcher,Novice,Emerald,Raw Porkchop,7,6,2,9,Player sells
Butcher,Novice,Emerald,Raw Porkchop,8,7,2,9,Player sells
Butcher,Novice,Emerald,Raw Porkchop,9,8,2,9,Player sells
Butcher,Novice,Emerald,Raw Porkchop,10,9,3,10,Player sells
Butcher,Novice,Emerald,Raw Porkchop,11,10,3,10,Player sells
Butcher,Novice,Emerald,Raw Porkchop,12,11,3,10,Player sells
Butcher,Novice,Emerald,Raw Porkchop,13,12,4,11,Player sells
Butcher,Novice,Emerald,Raw Porkchop,14,13,4,11,Player sells
Butcher,Novice,Emerald,Raw Porkchop,15,14,4,11,Player sells
Butcher,Novice,Emerald,Raw Porkchop,16,15,5,12,Player sells
Butcher,Novice,Emerald,Raw Rabbit,1,0,0,4,Player sells
Butcher,Novice,Emerald,Raw Rabbit,2,1,0,4,Player sells
Butcher,Novice,Emerald,Raw Rabbit,3,2,0,4,Player sells
Butcher,Novice,Emerald,Raw Rabbit,4,3,0,4,Player sells
Butcher,Novice,Emerald,Raw Rabbit,5,4,0,4,Player sells
Butcher,Novice,Emerald,Raw Rabbit,6,5,1,5,Player sells
Butcher,Novice,Emerald,Raw Rabbit,7,6,1,5,Player sells
Butcher,Novice,Emerald,Raw Rabbit,8,7,1,5,Player sells
Butcher,Novice,Emerald,Raw Rabbit,9,8,1,5,Player sells
Butcher,Novice,Emerald,Raw Rabbit,10,9,1,5,Player sells
Butcher,Novice,Emerald,Raw Rabbit,11,10,2,6,Player sells
Butcher,Novice,Emerald,Raw Rabbit,12,11,2,6,Player sells
Butcher,Novice,Emerald,Raw Rabbit,13,12,2,6,Player sells
Butcher,Novice,Emerald,Raw Rabbit,14,13,2,6,Player sells
Butcher,Novice,Emerald,Raw Rabbit,15,14,2,6,Player sells
Butcher,Novice,Emerald,Raw Rabbit,16,15,3,7,Player sells
Butcher,Novice,Rabbit Stew,Emerald,1,0,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,2,1,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,3,2,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,4,3,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,5,4,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,6,5,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,7,6,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,8,7,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,9,8,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,10,9,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,11,10,0,1,Player buys
Butcher,Novice,Rabbit Stew,Emerald,12,11,0,1,Player buys
Butcher,Apprentice,Emerald,Coal,1,0,0,15,Player sells
Butcher,Apprentice,Emerald,Coal,2,1,0,15,Player sells
Butcher,Apprentice,Emerald,Coal,3,2,1,16,Player sells
Butcher,Apprentice,Emerald,Coal,4,3,2,17,Player sells
Butcher,Apprentice,Emerald,Coal,5,4,3,18,Player sells
Butcher,Apprentice,Emerald,Coal,6,5,3,18,Player sells
Butcher,Apprentice,Emerald,Coal,7,6,4,19,Player sells
Butcher,Apprentice,Emerald,Coal,8,7,5,20,Player sells
Butcher,Apprentice,Emerald,Coal,9,8,6,21,Player sells
Butcher,Apprentice,Emerald,Coal,10,9,6,21,Player sells
Butcher,Apprentice,Emerald,Coal,11,10,7,22,Player sells
Butcher,Apprentice,Emerald,Coal,12,11,8,23,Player sells
Butcher,Apprentice,Emerald,Coal,13,12,9,24,Player sells
Butcher,Apprentice,Emerald,Coal,14,13,9,24,Player sells
Butcher,Apprentice,Emerald,Coal,15,14,10,25,Player sells
Butcher,Apprentice,Emerald,Coal,16,15,11,26,Player sells
Butcher,Apprentice,Cooked Porkchop,Emerald,1,0,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,2,1,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,3,2,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,4,3,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,5,4,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,6,5,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,7,6,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,8,7,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,9,8,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,10,9,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,11,10,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,12,11,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,13,12,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,14,13,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,15,14,0,1,Player buys
Butcher,Apprentice,Cooked Porkchop,Emerald,16,15,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,1,0,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,2,1,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,3,2,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,4,3,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,5,4,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,6,5,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,7,6,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,8,7,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,9,8,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,10,9,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,11,10,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,12,11,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,13,12,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,14,13,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,15,14,0,1,Player buys
Butcher,Apprentice,Cooked Chicken,Emerald,16,15,0,1,Player buys
Butcher,Journeyman,Emerald,Raw Mutton,1,0,0,7,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,2,1,0,7,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,3,2,0,7,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,4,3,1,8,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,5,4,1,8,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,6,5,1,8,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,7,6,2,9,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,8,7,2,9,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,9,8,2,9,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,10,9,3,10,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,11,10,3,10,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,12,11,3,10,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,13,12,4,11,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,14,13,4,11,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,15,14,4,11,Player sells
Butcher,Journeyman,Emerald,Raw Mutton,16,15,5,12,Player sells
Butcher,Journeyman,Emerald,Raw Beef,1,0,0,10,Player sells
Butcher,Journeyman,Emerald,Raw Beef,2,1,0,10,Player sells
Butcher,Journeyman,Emerald,Raw Beef,3,2,1,11,Player sells
Butcher,Journeyman,Emerald,Raw Beef,4,3,1,11,Player sells
Butcher,Journeyman,Emerald,Raw Beef,5,4,2,12,Player sells
Butcher,Journeyman,Emerald,Raw Beef,6,5,2,12,Player sells
Butcher,Journeyman,Emerald,Raw Beef,7,6,3,13,Player sells
Butcher,Journeyman,Emerald,Raw Beef,8,7,3,13,Player sells
Butcher,Journeyman,Emerald,Raw Beef,9,8,4,14,Player sells
Butcher,Journeyman,Emerald,Raw Beef,10,9,4,14,Player sells
Butcher,Journeyman,Emerald,Raw Beef,11,10,5,15,Player sells
Butcher,Journeyman,Emerald,Raw Beef,12,11,5,15,Player sells
Butcher,Journeyman,Emerald,Raw Beef,13,12,6,16,Player sells
Butcher,Journeyman,Emerald,Raw Beef,14,13,6,16,Player sells
Butcher,Journeyman,Emerald,Raw Beef,15,14,7,17,Player sells
Butcher,Journeyman,Emerald,Raw Beef,16,15,7,17,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,1,0,0,10,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,2,1,0,10,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,3,2,1,11,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,4,3,1,11,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,5,4,2,12,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,6,5,2,12,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,7,6,3,13,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,8,7,3,13,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,9,8,4,14,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,10,9,4,14,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,11,10,5,15,Player sells
Butcher,Expert,Emerald,Dried Kelp Block,12,11,5,15,Player sells
Butcher,Master,Emerald,Sweet Berries,1,0,0,10,Player sells
Butcher,Master,Emerald,Sweet Berries,2,1,0,10,Player sells
Butcher,Master,Emerald,Sweet Berries,3,2,1,11,Player sells
Butcher,Master,Emerald,Sweet Berries,4,3,1,11,Player sells
Butcher,Master,Emerald,Sweet Berries,5,4,2,12,Player sells
Butcher,Master,Emerald,Sweet Berries,6,5,2,12,Player sells
Butcher,Master,Emerald,Sweet Berries,7,6,3,13,Player sells
Butcher,Master,Emerald,Sweet Berries,8,7,3,13,Player sells
Butcher,Master,Emerald,Sweet Berries,9,8,4,14,Player sells
Butcher,Master,Emerald,Sweet Berries,10,9,4,14,Player sells
Butcher,Master,Emerald,Sweet Berries,11,10,5,15,Player sells
Butcher,Master,Emerald,Sweet Berries,12,11,5,15,Player sells
Cartographer,Novice,Emerald,Paper,1,0,0,24,Player sells
Cartographer,Novice,Emerald,Paper,2,1,1,25,Player sells
Cartographer,Novice,Emerald,Paper,3,2,2,26,Player sells
Cartographer,Novice,Emerald,Paper,4,3,3,27,Player sells
Cartographer,Novice,Emerald,Paper,5,4,4,28,Player sells
Cartographer,Novice,Emerald,Paper,6,5,6,30,Player sells
Cartographer,Novice,Emerald,Paper,7,6,7,31,Player sells
Cartographer,Novice,Emerald,Paper,8,7,8,32,Player sells
Cartographer,Novice,Emerald,Paper,9,8,9,33,Player sells
Cartographer,Novice,Emerald,Paper,10,9,10,34,Player sells
Cartographer,Novice,Emerald,Paper,11,10,12,36,Player sells
Cartographer,Novice,Emerald,Paper,12,11,13,37,Player sells
Cartographer,Novice,Empty Map,Emerald,1,0,0,7,Player buys
Cartographer,Novice,Empty Map,Emerald,2,1,0,7,Player buys
Cartographer,Novice,Empty Map,Emerald,3,2,0,7,Player buys
Cartographer,Novice,Empty Map,Emerald,4,3,1,8,Player buys
Cartographer,Novice,Empty Map,Emerald,5,4,1,8,Player buys
Cartographer,Novice,Empty Map,Emerald,6,5,1,8,Player buys
Cartographer,Novice,Empty Map,Emerald,7,6,2,9,Player buys
Cartographer,Novice,Empty Map,Emerald,8,7,2,9,Player buys
Cartographer,Novice,Empty Map,Emerald,9,8,2,9,Player buys
Cartographer,Novice,Empty Map,Emerald,10,9,3,10,Player buys
Cartographer,Novice,Empty Map,Emerald,11,10,3,10,Player buys
Cartographer,Novice,Empty Map,Emerald,12,11,3,10,Player buys
Cartographer,Apprentice,Emerald,Glass Pane,1,0,0,11,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,2,1,0,11,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,3,2,1,12,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,4,3,1,12,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,5,4,2,13,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,6,5,2,13,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,7,6,3,14,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,8,7,3,14,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,9,8,4,15,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,10,9,4,15,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,11,10,5,16,Player sells
Cartographer,Apprentice,Emerald,Glass Pane,12,11,6,17,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,1,0,0,8,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,2,1,1,9,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,3,2,3,11,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,4,3,4,12,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,5,4,6,14,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,6,5,8,16,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,7,6,9,17,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,8,7,11,19,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,9,8,12,20,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,10,9,14,22,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,11,10,16,24,Player sells
Cartographer,Apprentice,Explorer Map,Emerald + Compass,12,11,17,25,Player sells
Cartographer,Journeyman,Emerald,Compass,1,0,0,1,Player sells
Cartographer,Journeyman,Emerald,Compass,2,1,0,1,Player sells
